Timestamp,In which country are you currently located?,In which city are you currently located?,How old are you?,What is your gender?,"During your daytime activities, how much of a problem do you have with sleepiness?",What time do you try to go to sleep?,What is the main reason you go to bed at this time on weekdays?,How long does it take you to fall asleep?,What time do you wake up?,What is the main reason you wake up at this time on weekdays?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,What external factors influenced how well you slept last night?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap during each weekday?",What time does your (school) day start?,What time do you try to go to sleep?,How long does it take you to fall asleep?,What time do you wake up?,Are you free to wake up when you want on weekends?,After falling asleep how long do you spend awake during the night?,How would you rate the quality of your sleep?,How rested or refreshed do you feel when you wake up for the day?,"On average, how long do you nap each Saturday and Sunday?",How many caffeinated drinks do you have during the day?,What time do you have your last caffeinated drink?,"Each weekday, how many hours on average do you use technology (outside of school)?",How often do you use technology during the last hour before you go to sleep?,How often do you use technology after you have gone to bed?,How often do you wake up at night from notifications?,How many days did you do sport/physical activity in the morning before school?,How many days did you do sport/physical activity in the afternoon after school?,How many days did you do sport/physical activity in the evening on school days?,How many days did you do sport/physical activity on the weekend?,"If you did not have your sports or physical activity, would you go to bed earlier or later?","If you did not have your sports or physical activity, would you wake up earlier or later?",How many days did you study/do homework in the morning before school?,How many days did you study/do homework in the afternoon after school?,How many days did you study/do homework in the evening on days that you have school?,How many days did you study/do homework on the weekend?,How many hours did you study/do homework?,How often have you arrived late to class because you overslept?,"Currently, what are your grades in school mostly?","If you compare yourself to other people your age, how would you describe your health?",How often do I go to bed and think about things I need to do?,How often do I go to bed and replay the day’s events over and over in my mind?,How often do I check my clock several times during the night?,"During the 1 hour before bedtime, how often do things happen that make me feel strong emotions?",How often do I go to bed feeling upset?,How often do I go to bed and worry about things happening at home or at school?
15/09/2021 01:44:48,Australia,Perth,14,Female,3,1,Other,30,19,My alarm clock wakes me up,50,3,Phone/technology noise or light,2,10,8.5,2,40,10,Yes,90,3,3,10,,,,,,,,,,,,,,,,,,,,1,4,1,4,3,4,5
15/09/2021 01:44:54,Australia,Perth,14,Male,1,22.5,Other,30,5.5,Other,20,3,Room too hot/cold,2,0,8.5,11,40,5.5,No,50,4,3,30,1,19,3-4 hours,4,4,0,3,4,4,1,Later than you usually do,Later than you usually do,0,1,1,1,2,Once,B’s and C’s,3,3,3,3,1,1,2
15/09/2021 01:45:02,Australia,Perth,15,Female,1,22,I finish socialising,10,7,"I don’t know, I just wake up",0,4,Noises outside your home,3,0,8.5,0,5,8,No,0,4,3,0,1,18,3-4 hours,4,3,0,0,5,5,1,The same as you usually do,The same as you usually do,2,3,2,1,4,Never,B’s,3,4,4,0,3,2,2
15/09/2021 01:45:30,Australia,Perth,14,Male,2,22,My parent / carer has set my bedtime,15,6,My alarm clock wakes me up,60,2,Other,3,30,8.5,2,30,7.5,Yes,0,1,5,30,2,17,3-4 hours,5,2,0,1,1,1,2,The same as you usually do,The same as you usually do,0,3,0,1,1,Never,C’s,2,3,2,3,2,2,2
15/09/2021 01:45:33,Australia,Perth ,14,Male,1,22,Other,10,6.5,"I don’t know, I just wake up",0,4,Other,3,0,8.5,22,10,6.5,No,0,4,3,0,0,,3-4 hours,3,0,0,5,5,5,2,The same as you usually do,The same as you usually do,0,2,1,1,2,Twice,B’s and C’s,3,3,1,0,1,2,3
15/09/2021 01:45:47,Australia,Perth,15,Male,0,9,My TV shows are over,20,6,"I don’t know, I just wake up",10,4,Noises outside your home,4,20,20.5,9,20,6,Yes,20,4,4,20,1,18.5,1-2 hours,3,2,1,1,2,2,2,Later than you usually do,The same as you usually do,1,0,1,0,1,Twice,B’s and C’s,4,3,3,0,2,1,3
15/09/2021 01:46:41,Australia,Perth,15,Female,1,22,Other,60,6,My alarm clock wakes me up,0,3,None,3,0,8.5,9.5,60,7,No,0,4,4,0,,,,,,,,5,5,1,Earlier than you usually do,Earlier than you usually do,,,,,,,,,,,,,,
15/09/2021 01:46:44,Australia,perth,15,Female,0,22,I feel sleepy,5,6.5,My alarm clock wakes me up,6,5,None,4,0,8.5,22.5,8,8.5,No,10,4,5,0,,,,,,,0,1,1,1,The same as you usually do,The same as you usually do,1,3,2,2,3,Once,B’s and C’s,4,3,1,0,1,0,0
15/09/2021 01:47:00,Australia,Perth,15,Male,1,22.5,Other,5,6.5,My alarm clock wakes me up,0,4,Room too hot/cold,4,0,8.5,11,5,7,No,0,4,4,0,0,,3-4 hours,4,2,0,0,2,4,1,Later than you usually do,The same as you usually do,1,2,1,1,1,Never,A’s and B’s,3,4,1,1,2,0,1
15/09/2021 01:47:36,Australia,Perth,14,Male,1,19.5,My parent / carer has set my bedtime,5,6.5,"I don’t know, I just wake up",1,4,Room too hot/cold,4,0,8,23,2,7,Yes,0,4,4,0,1,7,3-4 hours,0,0,0,0,1,4,,Earlier than you usually do,The same as you usually do,,0,5,1,6,Never,B’s,2,2,2,0,1,1,1
15/09/2021 01:48:51,Australia,Perth,14,Male,3,4.5,Other,30,5.5,My alarm clock wakes me up,60,2,Other,1,60,8.5,5,30,6,Yes,30,2,3,60,0,10,3-4 hours,4,5,0,0,0,0,0,The same as you usually do,The same as you usually do,0,3,4,1,3,Twice,B’s and C’s,1,5,4,1,3,4,4
15/09/2021 01:51:13,Australia,Perth,14,Female,1,10.5,Other,40,6,My alarm clock wakes me up,60,4,Room too hot/cold,4,0,8.5,12,20,7,Yes,0,3,3,5,1,16.5,1-2 hours,5,2,0,1,3,3,1,The same as you usually do,The same as you usually do,0,2,2,0,4,Twice,A’s and B’s,3,2,4,1,4,4,4
15/09/2021 02:52:50,Australia,Perth,15,Male,1,22.5,I finish socialising,30,6.5,My alarm clock wakes me up,30,2,Other,1,0,8.5,11,30,8,No,40,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 02:55:33,Australia,Perth,16,Prefer not to say,2,21,Other,30,6,"I don’t know, I just wake up",10,4,Phone/technology noise or light,3,0,8.5,23,30,8,Yes,10,4,3,0,1,7,1-2 hours,3,1,0,0,,,,,,,,,,,,,,,,,,,
15/09/2021 02:56:14,Australia,perth,15,Female,1,0,I finish socialising,3,6,"I don’t know, I just wake up",45,1,Other,1,0,8.5,2,180,7,No,45,2,1,0,2,14,3-4 hours,2,2,2,0,5,5,2,The same as you usually do,Later than you usually do,2,3,4,2,2,Several Times,B’s and C’s,2,5,5,5,5,5,5
15/09/2021 02:56:32,Australia,Perth,15,Male,1,22.5,I feel sleepy,5,5,I need to go to the bathroom,0,3,Phone/technology noise or light,3,60,8.5,10.5,10,6,Yes,10,3,2,20,1,7.5,7-8 hours,5,4,2,,,,,,,,,,,,,,,,,,,,
15/09/2021 02:56:52,Australia,Perth,16,Female,2,23,I feel sleepy,30,7,My alarm clock wakes me up,0,4,Phone/technology noise or light,3,0,8.5,2,20,8,Yes,0,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 02:58:04,Australia,Perth,16,Male,1,21,Other,20,5,My alarm clock wakes me up,60,4,None,5,0,6.5,23,0,8,Yes,0,4,5,0,1,17,3-4 hours,5,0,0,5,5,5,,,,,,,,,,,,,,,,,
15/09/2021 02:58:17,Australia,Perth,15,Female,1,23,I feel sleepy,20,7,My alarm clock wakes me up,5,3,Pet disturbance,3,240,8.5,1,10,10,Yes,5,3,4,0,,,7-8 hours,4,4,0,5,0,0,0,The same as you usually do,The same as you usually do,,,,,,,,,,,,,,
15/09/2021 02:58:19,Australia,Perth,15,Female,2,23,I feel sleepy,5,7,My alarm clock wakes me up,0,3,Other,3,0,8.5,0,10,9,Yes,0,4,3,0,0,,3-4 hours,3,1,0,,0,4,1,Later than you usually do,The same as you usually do,0,1,5,1,10,Never,A’s and B’s,3,3,3,1,3,1,1
15/09/2021 02:58:21,Australia,Perth,15,Male,1,22.5,I feel sleepy,60,6.5,My alarm clock wakes me up,20,2,Other,2,120,8.5,0,120,10,No,40,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2021 02:58:42,Australia,Perth,15,Female,2,22.5,Other,20,6.5,My alarm clock wakes me up,30,3,Phone/technology noise or light,1,30,8.5,0,20,9,No,10,4,3,40,0,,3-4 hours,4,2,0,0,0,3,2,The same as you usually do,The same as you usually do,0,0,2,0,2,Never,C’s,2,5,5,5,5,3,5
15/09/2021 02:59:28,Australia,Perth,15,Non-binary,2,22,I feel sleepy,90,6.5,My alarm clock wakes me up,20,4,Room too hot/cold,3,0,8.5,22.5,90,9.5,No,10,4,4,0,1,8,3-4 hours,2,1,1,0,1,1,1,The same as you usually do,The same as you usually do,1,5,5,1,8,Twice,A’s and B’s,3,5,5,5,4,3,5
15/09/2021 02:59:56,Australia,Perth,15,Male,0,22.5,My parent / carer has set my bedtime,15,7,Other,5,5,None,4,0,8.5,23,5,7.5,No,0,4,3,0,0,,5-6 hours,2,0,0,0,5,5,2,Later than you usually do,The same as you usually do,1,5,5,2,5,Never,A’s and B’s,4,2,0,0,0,0,1
15/09/2021 03:00:23,Australia,Fremantle,15,Male,2,23,I finish my homework,15,7,My alarm clock wakes me up,0,4,Other,3,0,8.5,0,25,9,No,0,4,4,0,0,,1-2 hours,4,2,0,0,3,3,1,Earlier than you usually do,Earlier than you usually do,1,2,4,2,5,Once,A’s and B’s,,,,,,,
15/09/2021 03:00:27,Australia,Perth,15,Female,2,23,I finish my homework,30,5.5,My alarm clock wakes me up,0,2,Noises outside your home,2,0,6.5,23.5,20,7,No,0,4,3,0,0,,3-4 hours,5,2,1,0,4,4,1,Earlier than you usually do,The same as you usually do,1,2,2,1,3,Once,A’s and B’s,1,3,3,2,,,
15/09/2021 03:00:33,Australia,perth,16,Female,2,22.5,I finish my homework,60,6,My alarm clock wakes me up,60,3,Other,2,0,8.5,23.5,60,8,No,45,4,3,0,1,17,3-4 hours,4,2,1,2,3,2,2,The same as you usually do,Later than you usually do,2,4,4,2,2,Never,A’s,3,4,3,4,1,3,3
15/09/2021 03:01:46,Australia,Fremantle,16,Male,2,22.5,I feel sleepy,30,6,My alarm clock wakes me up,10,3,Pet disturbance,1,0,8.5,23,60,8,No,10,4,3,0,0,,7-8 hours,5,5,0,0,3,3,1,Later than you usually do,Later than you usually do,1,0,2,1,2,Several Times,B’s and C’s,3,3,1,1,3,1,3
15/09/2021 03:02:32,Australia,Perth,16,Male,1,22,My parent / carer has set my bedtime,15,6.5,My alarm clock wakes me up,0,4,Room too hot/cold,3,0,8.5,22,15,8.5,Yes,0,4,4,0,0,,3-4 hours,3,2,0,0,2,2,2,The same as you usually do,The same as you usually do,0,3,3,1,3,Twice,B’s,3,2,1,0,0,1,1
15/09/2021 03:03:12,Australia,Perth,16,Male,0,23,I feel sleepy,15,6.5,My alarm clock wakes me up,7,3,Room too hot/cold,3,0,8.5,23.5,15,9.5,No,7,5,4,0,1,,3-4 hours,3,0,1,,3,1,1,The same as you usually do,Earlier than you usually do,2,4,4,1,2,Once,B’s,2,3,2,1,2,1,3
15/09/2021 03:06:55,Australia,Perth ,15,Male,2,21.5,Other,40,5,My alarm clock wakes me up,15,3,None,3,30,8.5,22.5,40,9,No,15,3,3,90,0,,7-8 hours,4,1,0,4,0,2,1,Later than you usually do,Later than you usually do,0,0,3,2,10,Once,A’s and B’s,3,3,3,1,2,2,3
22/09/2021 00:43:43,Australia,Perth,16,Non-binary,1,22,My parent / carer has set my bedtime,45,5.5,My parent/carer or another family member wakes me up,60,2,Other,2,0,8.5,1,60,6,No,90,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 00:46:40,Australia,Perth ,16,Female,1,22,My parent / carer has set my bedtime,40,6.5,My parent/carer or another family member wakes me up,5,3,Room too hot/cold,2,0,8.5,22,40,7.5,Yes,5,3,2,0,0,,3-4 hours,3,1,0,0,2,1,0,The same as you usually do,The same as you usually do,0,2,2,2,9,Never,B’s,2,5,3,0,1,2,3
22/09/2021 00:48:31,Australia,perth,16,Female,3,22.5,I finish socialising,20,7,My alarm clock wakes me up,0,4,Room too hot/cold,2,0,8.5,23.5,20,10,Yes,0,4,3,0,0,13.5,7-8 hours,5,0,0,,,,,,,1,3,3,2,4,Once,B’s,2,4,4,2,3,3,4
22/09/2021 00:51:49,Australia,perth ,17,Female,3,23,I feel sleepy,60,7,My parent/carer or another family member wakes me up,40,3,Other,3,0,8.5,11.5,60,9.5,Yes,40,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 00:52:14,Australia,Perth,16,Female,2,22.5,I feel sleepy,10,7,My alarm clock wakes me up,30,4,Other,3,60,8.5,12,1,7.5,No,0,3,3,180,0,,3-4 hours,5,5,0,0,2,2,0,Later than you usually do,The same as you usually do,2,0,3,1,5,Several Times,B’s and C’s,1,4,3,1,3,3,3
22/09/2021 00:52:19,Australia,Perth ,16,Male,1,9.5,I feel sleepy,15,7,My parent/carer or another family member wakes me up,0,4,Room too hot/cold,1,0,8.5,0,15,7.5,No,0,3,1,0,0,,5-6 hours,5,4,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 00:52:23,Australia,perth ,16,Female,2,23,I finish my homework,5,6,My alarm clock wakes me up,0,5,None,4,0,8.5,23,10,7,No,0,5,4,0,0,,3-4 hours,4,3,0,1,5,3,1,Earlier than you usually do,The same as you usually do,0,5,5,2,7,Never,B’s and C’s,1,4,3,3,3,3,3
22/09/2021 00:53:15,Australia,Perth,16,Female,2,23,I finish my homework,30,6.5,My alarm clock wakes me up,0,5,Family/people disturbance,2,0,8.5,0,15,9,No,0,4,4,0,0,,3-4 hours,2,0,0,,,,,Later than you usually do,Earlier than you usually do,0,2,2,2,4,Never,A’s and B’s,3,3,4,2,0,2,1
22/09/2021 00:53:37,Australia,Perth,16,Male,1,10.5,I feel sleepy,5,7,"I don’t know, I just wake up",0,5,Room too hot/cold,4,0,8.5,10.5,5,7.5,No,0,5,4,0,0,,1-2 hours,2,2,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 00:58:19,Australia,perth,16,Female,2,22,Other,35,6,My alarm clock wakes me up,30,3,Other,2,0,8.5,2,5,7.5,Yes,30,3,3,0,1,13,3-4 hours,4,3,0,1,2,1,1,Earlier than you usually do,The same as you usually do,0,3,3,2,8,Never,A’s and B’s,2,4,2,5,2,2,4
22/09/2021 01:41:19,Australia,Perth,17,Female,1,23,I finish my homework,20,6,My alarm clock wakes me up,10,4,None,3,0,8.5,23.5,20,11,Yes,10,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 01:42:54,Australia,Perth,16,Male,2,22.5,I feel sleepy,15,6.5,My alarm clock wakes me up,5,3,Room too hot/cold,3,70,8.5,22.5,15,8.5,Yes,0,4,3,0,1,6.5,3-4 hours,5,3,1,0,2,2,1,The same as you usually do,The same as you usually do,1,3,5,1,5,Once,A’s and B’s,2,4,4,3,2,2,4
22/09/2021 01:43:01,Australia,Perth,17,Female,1,11,I feel sleepy,10,7.5,My alarm clock wakes me up,0,4,Phone/technology noise or light,4,60,8.5,12,10,9,Yes,0,3,3,30,2,15.5,1-2 hours,5,0,0,0,2,0,1,The same as you usually do,The same as you usually do,0,0,0,1,1,Never,B’s and C’s,3,2,2,1,2,2,1
22/09/2021 01:43:24,Australia,Perth,16,Male,1,22,My parent / carer has set my bedtime,8,6,My alarm clock wakes me up,5,4,Phone/technology noise or light,4,0,8.5,11.5,10,8.5,Yes,0,4,3,2,0,,3-4 hours,4,4,0,1,1,0,1,The same as you usually do,The same as you usually do,1,4,3,,,,,,,,,,,
22/09/2021 01:43:57,Australia,perth,16,Female,1,10.5,I get home from my job,30,5.5,My alarm clock wakes me up,5,3,Phone/technology noise or light,2,0,8.5,12,30,10.5,Yes,20,5,4,120,2,9.5,5-6 hours,5,2,3,0,0,0,0,The same as you usually do,The same as you usually do,0,3,3,1,3,Several Times,B’s,2,3,4,3,5,2,2
22/09/2021 01:44:21,Australia,Perth,16,Female,4,23,I finish my homework,2,6.5,My alarm clock wakes me up,1,5,Family/people disturbance,3,20,8.5,0,2,7,No,30,5,4,40,1,0,3-4 hours,5,1,0,0,0,2,2,The same as you usually do,The same as you usually do,1,5,5,2,16,Never,A’s,1,1,0,0,3,0,2
22/09/2021 01:45:11,Australia,perth,17,Male,0,22.5,I feel sleepy,20,7,My parent/carer or another family member wakes me up,5,4,Room too hot/cold,3,5,8.5,23.5,10,9.5,No,0,4,4,0,0,12,5-6 hours,5,1,0,3,5,5,1,The same as you usually do,The same as you usually do,0,1,1,0,1,Once,B’s and C’s,4,2,2,1,1,1,1
22/09/2021 01:45:33,Australia,Fremantle ,17,Female,2,0.5,I feel sleepy,65,6,My parent/carer or another family member wakes me up,40,3,Other,1,60,6,2.5,90,7,Yes,120,3,2,120,0,0.5,5-6 hours,4,4,1,0,0,0,1,The same as you usually do,The same as you usually do,2,0,2,1,1,Never,B’s,1,4,4,5,3,3,3
22/09/2021 01:46:47,Australia,Perth,16,Female,1,23,I finish my homework,15,6,My parent/carer or another family member wakes me up,0,4,Other,3,0,8.5,23,15,7.5,No,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 01:47:43,Australia,"Perth,WA",17,Female,1,21.5,Other,20,5.5,My alarm clock wakes me up,5,4,Other,2,0,8.5,21.5,45,8,Yes,0,3,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 01:48:32,Australia,Perth,17,Female,1,22.5,Other,15,7,My alarm clock wakes me up,5,3,Noises outside your home,1,0,8,2,10,8.5,Yes,5,4,2,0,2,16,3-4 hours,3,1,0,1,3,3,0,Earlier than you usually do,Earlier than you usually do,2,5,5,1,8,Twice,B’s and C’s,1,4,2,1,3,3,4
22/09/2021 01:50:20,Australia,Australia ,16,Female,2,10.5,I feel sleepy,3,6.5,My alarm clock wakes me up,0,3,Phone/technology noise or light,2,0,8.5,11.5,3,10,Yes,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:25:11,Australia,Perth,13,Prefer not to say,2,21,My parent / carer has set my bedtime,45,6.5,My parent/carer or another family member wakes me up,60,3,Pet disturbance,2,0,8.5,22,25,8,Yes,60,5,3,20,1,16,3-4 hours,4,0,0,0,0,3,1,The same as you usually do,The same as you usually do,1,1,1,1,0,Never,B’s and C’s,4,3,3,4,3,4,4
22/09/2021 05:26:04,Australia,Perth,14,Female,0,22,I feel sleepy,5,6.5,"I don’t know, I just wake up",0,5,None,4,0,8.5,23,0,11,Yes,0,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:27:00,Australia,Perth,14,Female,2,21.5,I feel sleepy,20,6.5,"I don’t know, I just wake up",3,2,Other,3,0,8.5,11.5,10,6.5,No,2,2,4,30,,,1-2 hours,5,1,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:27:02,Australia,Perth,14,Female,0,23,I finish socialising,10,7,"I don’t know, I just wake up",0,3,Family/people disturbance,1,0,8.5,3,10,10,No,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:27:38,Australia,"Perth, WA",13,Male,2,9,My parent / carer has set my bedtime,35,7.5,"I don’t know, I just wake up",100,2,Other,2,5,8.5,8,20,6.5,Yes,10,4,4,30,1,4,3-4 hours,2,1,0,2,3,3,2,Later than you usually do,Later than you usually do,2,4,2,1,3,Once,C’s,3,3,1,1,1,3,3
22/09/2021 05:28:31,Australia,perth,13,Female,2,12,My TV shows are over,40,7,My alarm clock wakes me up,0,3,None,3,30,8.5,1,40,21,Yes,0,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:28:40,Australia,"Perth, WA",13,Male,0,21,My parent / carer has set my bedtime,15,6,My alarm clock wakes me up,2,5,None,5,0,8.5,22,15,8.5,Yes,0,5,4,0,,,5-6 hours,2,0,0,,,,,,,0,4,0,2,5,Never,A’s and B’s,3,3,3,1,1,1,1
22/09/2021 05:29:20,Australia,Perth,14,Male,1,8.5,My parent / carer has set my bedtime,60,7,My parent/carer or another family member wakes me up,0,4,Room too hot/cold,3,0,8.5,10,30,6,Yes,0,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:31:40,Australia,Perth,13,Female,2,20,I feel sleepy,30,7,My alarm clock wakes me up,1,4,Family/people disturbance,2,0,8.5,22,30,8.5,No,0,4,3,0,,,1-2 hours,2,0,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:32:36,Australia,perth,13,Female,1,21.5,Other,120,6,"I don’t know, I just wake up",0,3,Other,2,0,7.5,22.5,120,6.5,Yes,0,3,4,0,1,17,1-2 hours,2,0,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:32:37,Australia,Perth,13,Female,1,19.5,I feel sleepy,60,7,My parent/carer or another family member wakes me up,0,4,Family/people disturbance,4,0,8,10,30,8.5,Yes,0,5,4,0,1,17.5,1-2 hours,3,1,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:34:19,Australia,Perth,13,Male,0,11,Other,60,5,Other,0,4,None,5,0,8.5,11.5,30,6.5,Yes,0,5,5,0,,,1-2 hours,1,2,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 05:34:48,Australia,Pertg,13,Female,1,22,I feel sleepy,45,6,My alarm clock wakes me up,30,3,Phone/technology noise or light,2,20,8.5,23,20,9,Yes,5,4,4,30,1,6.5,3-4 hours,4,4,1,0,,5,2,The same as you usually do,The same as you usually do,0,4,3,2,,Never,B’s,3,3,1,1,2,3,3
22/09/2021 05:35:44,Australia,Perth,13,Male,1,22,I feel sleepy,45,7,My alarm clock wakes me up,0,3,Room too hot/cold,2,0,8.5,10.5,30,8,Yes,0,4,2,0,0,,3-4 hours,2,1,0,5,5,2,1,The same as you usually do,Later than you usually do,0,2,4,1,2,Never,A’s and B’s,2,3,1,3,2,2,1
22/09/2021 05:37:19,Australia,Perth,13,Female,2,20,My parent / carer has set my bedtime,90,7,My parent/carer or another family member wakes me up,30,2,Other,2,0,8.5,8.5,90,7.5,No,20,3,2,0,1,18,1-2 hours,2,0,0,0,3,1,2,Earlier than you usually do,Later than you usually do,1,1,1,,,Once,A’s and B’s,1,3,2,2,1,2,2
22/09/2021 05:44:34,Australia,Perth,13,Non-binary,2,21.5,I feel sleepy,30,6,My parent/carer or another family member wakes me up,0,3,None,3,0,8.5,23,30,8.5,Yes,0,4,5,0,0,6.5,1-2 hours,3,1,0,0,0,2,1,The same as you usually do,The same as you usually do,0,0,1,1,2,Once,B’s and C’s,2,4,2,2,2,2,2
22/09/2021 06:29:55,Australia,Perth,13,Male,3,20.5,My parent / carer has set my bedtime,120,5.5,"I don’t know, I just wake up",180,1,Other,1,0,8.5,8.5,120,5.5,No,180,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 06:32:23,Australia,Fremantle ,13,Male,2,20.5,My parent / carer has set my bedtime,39,6,My parent/carer or another family member wakes me up,30,3,Family/people disturbance,2,5,8.5,22,10,7,Yes,19,4,4,0,2,,1-2 hours,,,,,,,,,,,,,,,,,4,1,2,3,0,0,3
22/09/2021 06:35:18,Australia,Fremantle,12,Male,2,20.5,My parent / carer has set my bedtime,20,6,My alarm clock wakes me up,30,2,Phone/technology noise or light,2,0,7.5,21,15,8,Yes,0,3,2,0,1,17.5,3-4 hours,1,3,0,0,1,,,Later than you usually do,,,5,1,1,12,Never,A’s and B’s,2,4,2,2,2,1,2
22/09/2021 06:36:06,Australia,Perth,13,Male,1,21,Other,65,7,Other,120,4,Room too hot/cold,3,10,8.5,21,60,6,Yes,10,4,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 06:37:17,Australia,perth,11,Female,1,21,I finish my homework,7,6,My alarm clock wakes me up,0,3,Phone/technology noise or light,1,0,8.5,21,7,6.5,No,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 06:39:08,Australia,Perth,13,Female,0,22,I feel sleepy,10,5.5,My parent/carer or another family member wakes me up,5,5,None,4,0,8.5,22.5,10,8.5,No,5,5,4,0,0,0,5-6 hours,3,0,0,4,5,5,2,The same as you usually do,The same as you usually do,2,4,3,1,5,Once,A’s and B’s,4,3,2,1,0,0,0
22/09/2021 06:39:44,Australia,Perth,13,Prefer not to say,1,22,I finish socialising,50,6,Other,20,3,Family/people disturbance,4,25,8.5,23.5,35,5,No,15,3,3,10,2,5.5,1-2 hours,2,2,1,5,4,3,2,The same as you usually do,Later than you usually do,2,4,4,1,1,Once,B’s,3,3,3,5,2,2,3
22/09/2021 06:39:49,Australia,Fremantle,12,Male,1,8.5,My parent / carer has set my bedtime,30,5.5,My alarm clock wakes me up,120,2,Other,2,0,6.5,8.5,30,6.5,Yes,120,2,3,0,1,,1-2 hours,4,3,1,0,0,0,1,The same as you usually do,The same as you usually do,4,1,1,0,1,Twice,C’s,2,5,5,3,2,2,3
22/09/2021 06:40:51,Australia,Perth,12,Prefer not to say,0,21.5,I feel sleepy,15,6,My alarm clock wakes me up,0,3,Pet disturbance,3,0,8.5,22.5,60,7.5,Yes,120,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2021 06:40:54,Australia,Perth,13,Prefer not to say,1,8.5,My parent / carer has set my bedtime,180,5,My alarm clock wakes me up,180,1,Family/people disturbance,1,0,8.5,22.5,180,8,Yes,180,2,2,0,1,10,7-8 hours,3,1,0,,,,,,,1,3,3,1,2,Never,B’s,2,3,4,3,5,5,5
22/09/2021 06:41:16,Australia,Perth,13,Male,3,21.5,Other,25,10.5,"I don’t know, I just wake up",30,2,Room too hot/cold,2,0,8.5,1.5,25,10.5,Yes,25,2,2,0,0,16,7-8 hours,3,3,0,4,4,4,2,Later than you usually do,Later than you usually do,3,2,3,0,4,Never,B’s and C’s,3,4,2,2,0,1,3
22/09/2021 06:41:27,Australia,Perth,12,Female,2,8.5,My parent / carer has set my bedtime,90,7,Noises or my pet wakes me up,60,2,Other,2,0,8.5,9,50,8,No,0,2,4,0,2,15.5,3-4 hours,2,0,0,0,2,0,1,The same as you usually do,The same as you usually do,2,4,4,1,1,Several Times,A’s,4,2,3,2,1,0,0
22/09/2021 06:41:28,Australia,Perth,12,Female,2,20.5,My parent / carer has set my bedtime,35,6.5,My alarm clock wakes me up,65,4,Other,3,0,8.5,9.5,45,7,Yes,60,4,3,0,1,17.5,1-2 hours,0,0,0,,,,,,,,,,,,,,,,,,,,
22/09/2021 06:42:44,Australia,Perth,13,Female,0,23,Other,90,6,My parent/carer or another family member wakes me up,45,3,Other,1,0,8.5,0,90,9.5,Yes,45,3,3,5,1,18.5,3-4 hours,4,4,0,1,5,4,1,The same as you usually do,The same as you usually do,0,3,4,2,2,Twice,A’s and B’s,2,3,2,4,3,3,4
22/09/2021 06:44:08,Australia,Perth,12,Male,0,22,My brother or sister go to bed,10,8.5,"I don’t know, I just wake up",1,5,Room too hot/cold,4,30,8.5,10,10,7.5,Yes,1,5,4,100,1,2,3-4 hours,,,,2,2,1,2,Later than you usually do,Later than you usually do,2,3,3,1,1,Never,B’s and C’s,3,1,1,2,3,3,3
22/09/2021 06:47:15,Australia,Perth,12,Female,2,22,Other,20,6,Other,30,3,Noises outside your home,2,0,8.5,12,15,10,No,10,4,3,180,0,,5-6 hours,5,0,0,0,1,0,1,The same as you usually do,Later than you usually do,2,5,5,1,3,Never,B’s and C’s,1,1,1,1,5,5,5
23/09/2021 00:56:38,Australia,Perth,12,Female,0,9.5,My parent / carer has set my bedtime,20,7,"I don’t know, I just wake up",5,4,Phone/technology noise or light,2,0,8,9.5,20,7,No,0,4,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,
